name_zh,name,year,produce_area,type,language,language_print,update,score,video_size,file_size,time,director,down_url
勇敢者游戏2：再战巅峰/Jumanji 2/勇敢者游戏2/勇敢者游戏4/新勇敢者的游戏2/逃出魔幻纪：霸气升呢(港)/野蛮游戏：全面晋级(台) ,Jumanji: The Next Level ,2019 ,美国 ,喜剧 / 动作 / 奇幻 / 冒险 ,英语 ,中英双字幕 ,2019-12-06(中国大陆) / 2019-12-13(美国) ,"6.2/10 from 42,373 users ",1920 x 1080 ,2.28 GB ,122分钟 ,杰克·卡斯丹 Jake Kasdan ,ftp://ygdy8:ygdy8@yg39.dydytt.net:3015/阳光电影www.ygdy8.com.勇敢者游戏2：再战巅峰.BD.1080p.国英双语双字.mkv
系统破坏者/萝莉破坏王(台) ,Systemsprenger/System Crasher ,2019 ,德国 ,剧情 ,德语 ,中英双字幕 ,2019-02-08(柏林电影节) / 2019-09-19(德国) ,"7.3/10 from 1,099 users ",1920 x 1080 ,2 GB ,118分钟 ,诺拉·芬沙伊德 Nora Fingscheidt ,ftp://ygdy8:ygdy8@yg18.dydytt.net:3011/阳光电影www.ygdy8.com.系统破坏者.BD.1080p.中英双字幕.mkv
最后一搏/终极衡量/钢铁勋章(台) ,The Last Full Measure ,2020 ,美国 ,剧情/战争 ,英语 ,中英双字幕 ,2020-01-24(美国) ,"6.5/10 from 1,131 users ",1920 x 1080 ,1.99 GB ,110分钟 ,托德·罗宾森 Todd Robinson ,ftp://ygdy8:ygdy8@yg39.dydytt.net:6011/阳光电影www.ygdy8.com.最后一搏.BD.1080p.中英双字幕.mkv
幼女战记 剧场版/谭雅战记 剧场版 ,幼女戦記 劇場版/Saga of Tanya the Evil Movie ,2019 ,日本 ,剧情 / 动画 / 战争 / 冒险 ,日语 ,中文 ,2019-02-08(日本) ,"7.6/10 from 1,633 users ",1920 x 1080 ,1.46 GB ,98分钟 ,上村泰 Yutaka Uemura ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4009/阳光电影www.ygdy8.com.幼女战记剧场版.BD.1080p.日语中字.mkv
都柏林动物/动物们/禽兽 ,Animals ,2019 ,"英国,澳大利亚,爱尔兰 ",剧情/喜剧 ,英语 ,中英双字幕 ,2019-01-28(圣丹斯电影节) ,6.0/10 from 266 users ,1920 x 1080 ,1.82 GB ,109分钟(圣丹斯电影节) ,苏菲·海德 Sophie Hyde ,ftp://ygdy8:ygdy8@yg90.dydytt.net:8058/阳光电影www.ygdy8.com.都柏林动物.BD.1080p.中英双字幕.mkv
纽约的一个雨天/一个雨天，在纽约/情迷纽约下雨天(港)/纽约有雨/雨天·纽约(台) ,A Rainy Day in New York ,2019 ,美国 ,喜剧/爱情 ,英语 ,中英双字幕 ,2019-07-26(波兰) ,"7.5/10 from 35,398 users ",1920 x 1080 , GB ,92分钟 ,伍迪·艾伦 Woody Allen ,ftp://ygdy8:ygdy8@yg90.dydytt.net:6008/阳光电影www.ygdy8.com.纽约的一个雨天.BD.1080p.中英双字幕.mkv
我的A级秘密/你能守口如瓶吗? ,Can You Keep a Secret? ,2019 ,美国 ,喜剧 / 爱情 ,英语 ,中英双字幕 ,2019-09-13(美国) ,5.1/10 from 687 users ,1920 x 1080 , GB ,94分钟 ,Elise Duran ,ftp://ygdy8:ygdy8@yg39.dydytt.net:8011/阳光电影www.ygdy8.com.我的A级秘密.BD.1080p.中英双字幕.mkv
提托与鸟儿们/Tito不再恐懼鳥(港)/提托的鸟儿们 ,Tito e os Pássaros/Tito and the Birds ,2018 ,巴西 ,剧情 / 动作 / 动画 ,葡萄牙语 ,中英双字幕 ,2018-06-11(安锡动画电影节) ,6.7/10 from 78 users ,1920 x 1080 , GB ,73分钟 ,Gustavo Steinberg ,ftp://ygdy8:ygdy8@yg18.dydytt.net:6005/阳光电影www.ygdy8.com.提托与鸟儿们.BD.1080p.中英双字幕.mkv
利刃出鞘/上流谋杀案/亮剑/出鞘/神探白朗：福比利大宅谋杀案(港)/致命遗产/锋回路转(台) ,Knives Out ,2019 ,美国 ,剧情 / 喜剧 / 悬疑 / 犯罪 ,"英语,西班牙语 ",中英双字幕 ,2019-09-07(多伦多电影节) / 2019-11-27(美国) / 2019-11-29(中国大陆) ,"8.2/10 from 294,544 users ",1920 x 1040 ,2.47 GB ,130分钟 ,莱恩·约翰逊 Rian Johnson ,ftp://ygdy8:ygdy8@yg39.dydytt.net:7010/阳光电影www.ygdy8.com.利刃出鞘.BD.1080p.国英双语双字.mkv
半路枪手/腰间持枪 ,Guns Akimbo ,2019 ,"英国,德国,新西兰 ",喜剧 / 动作 ,英语 ,中英双字幕 ,2019-09-09(多伦多国际电影节) / 2020-02-28(美国) ,6.5/10 from 361 users ,1920 x 1080 ,1.76 GB ,95分钟 ,杰森·李·豪顿 Jason Lei Howden ,ftp://ygdy8:ygdy8@yg90.dydytt.net:7058/阳光电影www.ygdy8.com.半路枪手.BD.1080p.中英双字幕.mkv
尼帕病毒 ,Virus ,2019 ,印度 ,剧情/惊悚 ,马拉雅拉姆语 ,中文 ,2019-06-07(印度) ,5.8/10 from 183 users ,1920 x 1080 ,2.48 GB ,152分钟 ,Aashiq Abu ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4008/阳光电影www.ygdy8.com.尼帕病毒.BD.1080p.中字.mkv
原钻/未切割宝石/未切割的宝石/未切割的钻石/未成大器/未琢之石(豆友译名) ,Uncut Gems ,2019 ,美国 ,悬疑/剧情/犯罪 ,英语 ,中英双字幕 ,2019-08-30(特柳赖德电影节) / 2019-12-25(美国) / 2020-01-31(Netflix) ,"7.3/10 from 15,498 users ",1920 x 1080 ,2.25 GB ,135分钟 ,本·萨弗迪 Ben Safdie ,ftp://ygdy8:ygdy8@yg18.dydytt.net:3010/阳光电影www.ygdy8.com.原钻.BD.1080p.中英双字幕.mkv
所有明亮的地方/生命中的灿烂时光（港/台） ,All the Bright Places ,2020 ,美国 ,剧情 / 爱情 ,英语 ,中英双字幕 ,2020-02-28(美国) ,7.0/10 from 187 users ,1920 x 1080 ,1.8 GB ,107分钟 ,布雷特·海利 Brett Haley ,ftp://ygdy8:ygdy8@yg90.dydytt.net:6007/阳光电影www.ygdy8.com.所有明亮的地方.BD.1080p.中英双字幕.mkv
燃烧女子的肖像/年轻女孩的肖像画/浴火女孩肖像画/浴火的少女画像(港)/火吻女孩的肖像/烧女图 ,Portrait de la jeune fille en feu/Portrait of a Lady on Fire ,2019 ,法国 ,剧情/同性/历史 ,"法语,意大利语 ",中英双字幕 ,2019-05-19(戛纳电影节)/2019-09-18(法国) ,"8.6/10 from 45,779 users ",1920 x 1040 ,2.05 GB ,120分钟 ,瑟琳·席安玛 Céline Sciamma ,ftp://ygdy8:ygdy8@yg18.dydytt.net:6004/阳光电影www.ygdy8.com.燃烧女子的肖像.BD.1080p.中英双字幕.mkv
死寂逃亡/寂静杀机(台)/收声刹(港) ,The Silence ,2019 ,"德国,美国 ",恐怖/惊悚 ,英语 ,中英双字幕 ,2019-04-10(美国) / 2019-08-30(中国大陆) ,"5.3/10 from 13,966 users ",1920 x 1080 , GB ,90分钟 ,约翰·R·莱昂耐迪 John R. Leonetti ,ftp://ygdy8:ygdy8@yg90.dydytt.net:8057/阳光电影www.ygdy8.com.死寂逃亡.BD.1080p.国英双语双字.mkv
继任蝰蛇 ,Inherit the Viper ,2019 ,美国 ,剧情 / 惊悚 / 犯罪 ,英语 ,中英双字幕 ,2019-09-28(苏黎世电影节) / 2020-01-10(美国) ,"5.3/10 from 13,966 users ",1920 x 1080 ,1.51 GB ,90分钟 ,Anthony Jerjen ,ftp://ygdy8:ygdy8@yg18.dydytt.net:7009/阳光电影www.ygdy8.com.继任蝰蛇.BD.1080p.中英双字幕.mkv
腐败/犯罪危城(台) ,The Corrupted ,2019 ,英国 ,惊悚 / 犯罪 ,英语 ,中英双字幕 ,2019-05-10(英国) ,"5.3/10 from 13,966 users ",1920 x 1080 ,1.79 GB ,90分钟 ,Ron Scalpello ,ftp://ygdy8:ygdy8@yg39.dydytt.net:8010/阳光电影www.ygdy8.com.腐败.BD.1080p.中英双字幕.mkv
变身特工/伪装间谍/变身特务(台)/变雀特工(港)/百变间谍王/间谍伪装/飞鸽特工队/鸽中谍 ,Spies in Disguise ,2019 ,美国 ,喜剧 / 动作 / 科幻 / 动画 ,"英语,日语 ",中英双字幕 ,2019-12-04(加州首映) / 2019-12-25(美国) / 2020-01-03(中国大陆) ,"7.7/10 from 26,554 users ",1920 x 1080 ,1.51 GB ,102分钟 ,尼克·布鲁诺 Nick Bruno ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4007/阳光电影www.ygdy8.com.变身特工.BD.1080p.中英双字幕.mkv
变身特工/伪装间谍/变身特务(台)/变雀特工(港)/百变间谍王/间谍伪装/飞鸽特工队/鸽中谍 ,Spies in Disguise ,2019 ,美国 ,喜剧 / 动作 / 科幻 / 动画 ,"英语,日语 ",中英双字幕 ,2019-12-04(加州首映) / 2019-12-25(美国) / 2020-01-03(中国大陆) ,"7.7/10 from 26,554 users ",1920 x 1080 ,1.51 GB ,102分钟 ,尼克·布鲁诺 Nick Bruno ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4007/阳光电影www.ygdy8.com.变身特工.BD.1080p.中英双字幕.mkv
霹雳娇娃/新霹雳娇娃/查理的天使/神探俏嬌娃(港)/霹雳天使 ,Charlie's Angels ,2019 ,美国 ,动作/冒险 ,英语/国语 ,中英双字幕 ,2019-11-15(美国/中国大陆) ,"5.9/10 from 23,887 users ",1920 x 1080 ,2.15 GB ,119分钟 ,伊丽莎白·班克斯 Elizabeth Banks ,ftp://ygdy8:ygdy8@yg39.dydytt.net:6010/阳光电影www.ygdy8.com.霹雳娇娃.BD.1080p.国英双语双字.mkv
勇敢者游戏2：再战巅峰/Jumanji 2/勇敢者游戏2/勇敢者游戏4/新勇敢者的游戏2/逃出魔幻纪：霸气升呢(港)/野蛮游戏：全面晋级(台) ,Jumanji: The Next Level ,2019 ,美国 ,喜剧 / 动作 / 奇幻 / 冒险 ,英语 ,中英双字幕 ,2019-12-06(中国大陆) / 2019-12-13(美国) ,"6.2/10 from 42,373 users ",1920 x 1080 ,2 GB ,122分钟 ,杰克·卡斯丹 Jake Kasdan ,ftp://ygdy8:ygdy8@yg18.dydytt.net:3009/阳光电影www.ygdy8.com.勇敢者游戏2：再战巅峰.BD.1080p.中英双字幕.mkv
父亲的遗愿/他最后想要的东西/他的最后愿望/遗愿 ,The Last Thing He Wanted ,2020 ,美国 ,剧情 / 悬疑 / 惊悚 / 犯罪 ,英语 ,中英双字幕 ,2020-01-27(圣丹斯电影节) / 2020-02-21(美国网络) ,4.7/10 from 356 users ,1920 x 1080 ,1.9 GB ,115分钟 ,迪·里斯 Dee Rees ,ftp://ygdy8:ygdy8@yg90.dydytt.net:6006/阳光电影www.ygdy8.com.父亲的遗愿.BD.1080p.中英双字幕.mkv
丹麦之子 ,Sons of Denmark/Danmarks sonner ,2019 ,丹麦 ,惊悚/剧情 ,"丹麦语,阿拉伯语 ",中英双字幕 ,2019-01-24(鹿特丹电影节) ,6.8/10 from 251 users ,1920 x 1080 ,2 GB ,120分钟 ,乌拉·沙林 Ulaa Salim ,ftp://ygdy8:ygdy8@yg39.dydytt.net:7009/阳光电影www.ygdy8.com.丹麦之子.BD.1080p.中英双字幕.mkv
爆炸新闻/公正与平衡/性感炸弹/爆炸性丑闻(港)/重磅炸弹/重磅腥闻(台) ,Bombshell/Fair and Balanced ,2019 ,美国/加拿大 ,剧情/传记 ,英语 ,中英双字幕 ,2019-11-27(英国) / 2019-12-20(美国/加拿大) ,"7.0/10 from 12,869 users ",1920 x 1080 ,1.96 GB ,108分钟 ,杰伊·罗奇 Jay Roach ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4006/阳光电影www.ygdy8.com.爆炸新闻.BD.1080p.中英双字幕.mkv
超人：红色之子/超人：赤子 ,Superman: Red Son ,2020 ,美国 ,科幻/动画 ,英语 ,中英双字幕 ,2020-02-25(美国) ,5.3/10 from 301 users ,1920 x 1080 ,1 GB ,84分钟 ,刘山姆 Sam Liu ,ftp://ygdy8:ygdy8@yg39.dydytt.net:8009/阳光电影www.ygdy8.com.超人：红色之子.BD.1080p.中英双字幕.mkv
对不起，我们错过了你 / 对不起，错过你(港) / 抱歉我们错过你了(台) ,Sorry We Missed You ,2019 ,英国 / 法国 / 比利时 ,剧情 ,英语 ,中英双字幕 ,2019-05-16(戛纳电影节) / 2019-11-01(英国) ,8.3/10 from 7576 users ,1920 x 1080 ,1.83 GB ,100分钟(戛纳电影节) ,肯·洛奇 Ken Loach ,ftp://ygdy8:ygdy8@yg39.dydytt.net:3014/阳光电影www.ygdy8.com.对不起，我们错过了你.BD.1080p.中英双字幕.mkv
恶之华 ,惡の華/The Flowers of Evil ,2019 ,日本 ,剧情 / 爱情 / 惊悚 ,日语 ,中文 ,2019-09-27(日本) ,5.1/10 from 833 users ,1920 x 1080 ,2.12 GB ,127分钟(日本) ,井口升 Noboru Iguchi ,ftp://ygdy8:ygdy8@yg90.dydytt.net:8056/阳光电影www.ygdy8.com.恶之花.BD.1080p.日语中字.mkv
